line_number,speaker,timestamp,text
1,Navaa,,"So feel free to tell us a little bit about yourself; name, age, job, what do you do with your time?"
2,Kaveri,,"My name is Kaveri. I'm 19, I'm a sophomore in college. Um, I go to Dartmouth. I guess my job is that I'm a student, um, and I am studying bio, CS, anthropology, etc, and, and pre-med, yeah, I guess that's it,"
3,Navaa,,"Ok, the big, sort of, like overarching question that kind of shapes the rest of the interview is, would you describe yourself as like a current, active user of Canva; or, would you describe yourself as someone that maybe used Canva in the past, but doesn't anymore, or just doesn't use Canva at all."
4,Kaveri,,I'm definitely like a current active user of Canva.
5,Navaa,,"So first and foremost, I do know that Dartmouth does have a version of Canva for campus, some kind of like Canva premium partnership. So do you personally, through Dartmouth, have a Canva pro subscription, or just on the personal side, like, have you bought your own? And if so, how long have you had it for?"
6,Kaveri,,"Yeah, I have the Dartmouth subscription, and I've had it, I guess, for, like, however long I've been in college. So, like, what, like, a year and a half now,"
7,Navaa,,"What would you say is the biggest value that Canva provides for you currently? And why do you, like, use and choose Canada uniquely."
8,Kaveri,,"I do social media stuff for, um, the debate team that I'm on, as well as for the Global Health Coalition that I lead, and so it's really useful for, like promotional information to like just post like different things that different people are doing. Things that, like my clubs have been doing, and it's like a cool way to reach people, especially on like Instagram and also through email, because you can have like cool flyers and things like that. I feel like I use Canva because it's like, the only design platform that I really know how to use. I guess there's, like, Adobe, but I don't really know if you can make posters on it. I'm sure there's a bunch. I think Canva is, like, one, the most well known, and two, it's very user friendly. And I used it a bunch of in high school, so I'm just kept using it here. And also, like, all of the upperclassmen that I know who had positions that I have now used Canva, so we have the templates and all the things for it. So it's just, it makes sense to just be able to use it."
9,Navaa,,"Yeah, that makes a lot of sense. We're definitely interested in the sort of like timeline of, if the only thing you've been exposed to is Canva, is the reason you're using it is because, like, a unique feature of Canva?"
10,Kaveri,,"So I can't, yeah, sorry, I can't say because I, like, have not used any other design platforms."
11,Navaa,,"All right, so what are some reasons you would stop using Canva? Have you switched to another design tool before? And if yes, which one and why? That’s a lot of questions. Wow."
