line_number,speaker,timestamp,text
1,Frank,,Do you mind if we disclose your demographic information? Your age and your gender?
2,Yoyo,,"Yeah, sure, that's fine."
3,Frank,,"Okay, great, thank you. Cool. Then, first question is, how long have you been using Canva for?"
4,Yoyo,,"Um, I've probably been using Canva for at least, like, 8 years since, like, grade 4."
5,Frank,,"Did you ever have a premium account? Did you pay for them, or did you always… have you always used a free account?"
6,Yoyo,,"Um, I never paid for it, I just got a free premium account from my high school, yeah."
7,Frank,,Where did you get this free account from?
8,Yoyo,,"I mean, like, my school kind of provided it, but then, like, Okay, like, they provided it when I was in, like, grade 10 or something, so before that, I just used it for free, like, I never really paid for it."
9,Frank,,"Okay, got it. Do you remember which teacher you got Canva Premium from?"
10,Yoyo,,"Um, I think my school just sent me an email, and then they were like, oh, if you're, like, interested in this, you can sign yourself up, but there's, like, limited, like, spots for it, and I just, like, got it, like, immediately."
11,Frank,,"Um, yeah. So, you've always been using Canva for a while. What do you normally use Canva for?"
12,Yoyo,,"I guess, I feel like Canva's really useful if you're, like, making, like, low-stakes social media posts, especially for, like, different clubs or, like, For, like, I guess, like, school clubs, too. I don't think it's, like, the best kind of, like, platform for making more advanced design, but if I'm just doing it for, like, I really, really, like, mini project, and I'll probably use Canva."
13,Frank,,"Then, specifically, could you describe how you use Canva? How is Canva used as a part of your workflow when designing posters, websites, flyers?"
14,Yoyo,,"Okay, for flyers and, like, for graphic designs in general, like, Canva's good, because, like, especially if you want to make it, like, in a really short time, because they provide you, like, things like templates. Which is, like, quite useful, but if we're talking about, like, website design, like, it's really, really hard to navigate. Like, Figma, I use Figma instead, because, like, Figma is, like, made professionally for, like, making, like, UI design and things like that, so I feel like that would be more useful than Canva."
15,Frank,,"Okay, got it. Could you list all the design services you use?"
16,Yoyo,,"All the softwares I use? Okay, um, I use Canva, I use Adobe Illustrator, Adobe Photoshop. Um, I use Figma. And then there's, like, a bunch of, like, um, kind of, like, 3D modeling things I do. Like, I use, um, Fusion 360 Nomad Sculpt. I also use a bit of Blender. Oh, and then there's… there's just things like drawing and editing stuff, like Procreate, and then, like, Final Cut Pro and DaVinci Resolve for, like, videos and stuff. Yeah, that's basically it."
17,Frank,,"Wow. The reason I ask is because I want to know how much of each software do you use, or do you rely on? What would be the percentage distribution of the time you spend usinh these different services?"
18,Yoyo,,"It really depends on, like, the purpose, like, for… okay, like, for just, like, basic social media posts and stuff, I'll definitely use Canva, and that's probably, like, Like, 30% of the time, And because I've, like, I do a lot of UI more than a graphic design, I probably use, like, use, like, like, 50% of Figma. And then I feel like the rest… I said 30% for Canvas, so, like, the rest, like, 20%..."
19,Yoyo,,"I feel like it's more like Adobe Illustrators and stuff, because, um, like, I also applied to, like, a bunch of, like, clubs, like, for media, like, roles, and they told me that they don't accept Canva. Like, they only use Adobe Illustrators and things like that."
20,Yoyo,,"Yeah, I specifically asked that. Yeah, because I feel like, um, I think it's mainly because, like, Canva, it's like, they provide you so many templates, and it's just, like, really easy for you to just, like, replicate designs that are, like, not that original. So they were like, oh, use Adobe Illustrator because it's, like, more unique, I guess."
21,Frank,,"Oh, okay. Wait, I didn't know that. So, the clubs and universities, the ones you apply to actually specifically said don't use Canva, use Adobe Illustrator?"
22,Yoyo,,"Um, I asked them, like, oh, do you guys usually use Canva, or do you accept, like, using Canva for it? And they're like, oh, we still prefer Adobe Illustrator, and we barely use it. So basically, we're not… I was not that allowed to, like, use it, I guess, because it's, like, more, like, illustrator-focused."
23,Frank,,"What do you think you'll be doing in the future, career-wise, and what's your major currently? Do you think you're gonna need to be doing mainly just UI design, graphics design?"
24,Frank,,"Do you see yourself using Canva as you progress into more professional settings, like professional clubs and internships, or when you eventually get a job?"
25,Yoyo,,"I thought Canva would be, like, useful for me in the long term until, like, I feel like when I contacted that club, and they were like, oh, I don't think we really accept Canva, and then so I was like, okay, maybe, like, um, in a professional setting, they don't really like Canva in general, so I feel like I might be switching to… things like Illustrator, and I guess it's just, like, Figma. more, because I feel like… I don't know, I feel like Canva is something for, like, more, like, casual designers and people who just need to design for, like, And, like, at a beginner's level, so I'm not really sure about that, but I, like… If I had to, like, really answer that question, I don't think I would be using Canva in the long term."
26,Frank,,"Could you describe your use of Canva, how frequently have you used Canva since you started to use it, all the way till now, and also how frequent do you think you’ll use it in the future?"
27,Yoyo,,"Okay, um, I definitely use it a lot when I just started, because I wasn't great for it, and I had, like, I had, like, basic, basic knowledge on design, so I felt like it was really useful, because it's super, super easy to, like, navigate, for example, to, like, make shapes and, like, just, like, format them, because it's, like, It's on a… it's on… it's usually used on a website, so it's, like, relatively easy and things like that. Um, and then I feel like when I got to, like, grade 10 or grade 9, I kind of used it, like, extensively. I feel like grade 10, especially because I got, like, the premium account for free, and then that's when I started, like, using it for, like, social media posts and things like that. And I feel like, since I stepped into uni, Um, I use it for, like, my… I think the first social media post I'm doing for, um, a club called Designer Columbia, like, the only club… the design club at Columbia, And then I stopped, and I switched, like, Figma, because, like, I thought it was, like, super hard that I can make it, like, really original."
28,Yoyo,,"So I feel like, in the long term, Um, I might be using less of, like, Canva, maybe? Like, I said 30% in general. I think… I feel like it's gonna drop to, like, 10 or 5. like, maybe next year."
29,Frank,,"So, Canva isn't very suited for what you want to do now, which is more professional work, Is that what I'm hearing?"
30,Yoyo,,"Yeah, I don't think Canva is very professional, because, okay, um, for Illustrator, what's really good about Illustrator is that you can, like, adjust, like, vectors, like, super easily, and you can make, like, really, like, original shapes. Like, Canva does offer that, but it's super hard to, like, navigate, especially when you're, like, forming, like, curves and things like that. And also, um, because, like, Illustrator, it's connected to, like, Adobe, and then functions of, like, Photoshop, so you could easily, like, edit images. Especially with, like, just, like, editing images and, like, lighting, and then, like, shades in general, and I feel like with Canva, I feel like there's… Like, they only give you, like, a few filters, and that's it. So it's, like, really hard if I'm, like, switching between different platforms, like, I'd rather just focus, like, on one platform that allows me to do, like, everything I need."
